air_carrier_id_pk,name,shortcut
19031,Not specified, MAC
19032,Not specified, XY
19033,Not specified, COC
19034,Not specified, GSA
19035,Not specified, RZZ
19036,Not specified, GLW
19037,Not specified, PRN
19038,Not specified, STZ
19039,Not specified, SWT
19040,Not specified, TSF
19041,Not specified, VEZ
19042,Not specified, WEB
19043,Not specified, AAR
19044,Not specified, CHI
19045,Not specified, MRC
19046,Not specified, OHZ
19047,Not specified, PRO
19048,Not specified, SAI
19049,Not specified, SLZ
19050,Not specified, AAZ
19051,Not specified, IMP
19052,Not specified, TWA
19053,Not specified, WRT
19054,Not specified, COL
19055,Not specified, MVA
19056,Not specified, CHL
19057,Not specified, JCZ
19058,Not specified, MIS
19059,Not specified, STG
19060,Not specified, CKI
19061,Not specified, CMD
19062,Not specified, EMA
19063,Not specified, ORI
19064,Not specified, RAN
19065,Not specified, AJ
19066,Not specified, SKI
19067,Not specified, WWI
19068,Not specified, AND
19069,Not specified, ACG
19070,Not specified, AAA
19071,Not specified, AAB (1)
19072,Not specified, AAE
19073,Not specified, AAL
19074,Not specified, ABH
19075,Not specified, ABI
19076,Not specified, ABO
19077,Not specified, ACA
19078,Not specified, ACH
19079,Not specified, ACI
19080,Not specified, ACO
19081,Not specified, ACP
19082,Not specified, ACS
19083,Not specified, ACT
19084,Not specified, ACK
19085,Not specified, AEC
19086,Not specified, AFA
19087,Not specified, AGA
19088,Not specified, AIA
19089,Not specified, AIE
19090,Not specified, AIM
19091,Not specified, AIN
19092,Not specified, ALE
19093,Not specified, ALI
19094,Not specified, ALL
19095,Not specified, AMA
19096,Not specified, AMI
19097,Not specified, ANB
19098,Not specified, ANM
19099,Not specified, ANO
19100,Not specified, ANT
19101,Not specified, AOI
19102,Not specified, API
19103,Not specified, APL
19104,Not specified, APY
19105,Not specified, ARI
19106,Not specified, ARN
19107,Not specified, ARO
19108,Not specified, ARR
19109,Not specified, ASD
19110,Not specified, ASI
19111,Not specified, ASP
19112,Not specified, AST
19113,Not specified, ATN
19114,Not specified, ATO
19115,Not specified, ATS
19116,Not specified, ATT
19117,Not specified, ATX
19118,Not specified, AVA
19119,Not specified, AVI
19120,Not specified, AVS
19121,Not specified, AVZ
19122,Not specified, BAC
19123,Not specified, BAH
19124,Not specified, BAK
19125,Not specified, BAR
19126,Not specified, BCA
19127,Not specified, BEN
19128,Not specified, BEY
19129,Not specified, BHK
19130,Not specified, BHO
19131,Not specified, BIR
19132,Not specified, BMT
19133,Not specified, BOA
19134,Not specified, BRO
19135,Not specified, BUR
19136,Not specified, CAC
19137,Not specified, CAI
19138,Not specified, CAM
19139,Not specified, CAP
19140,Not specified, CAT
19141,Not specified, CAV
19142,Not specified, CBA
19143,Not specified, CEN
19144,Not specified, CET
19145,Not specified, CHD
19146,Not specified, CHE
19147,Not specified, CHF
19148,Not specified, CHO
19149,Not specified, CHS
19150,Not specified, CIS
19151,Not specified, CNN
19152,Not specified, COB
19153,Not specified, COK
19154,Not specified, COM
19155,Not specified, COR
19156,Not specified, COS
19157,Not specified, COT
19158,Not specified, COU
19159,Not specified, CPA
19160,Not specified, CPC
19161,Not specified, CRA
19162,Not specified, CRN
19163,Not specified, CRO
19164,Not specified, CRT
19165,Not specified, CSK
19166,Not specified, CTA
19167,Not specified, CTH
19168,Not specified, CVA
19169,Not specified, DAN
19170,Not specified, DEA
19171,Not specified, DEC
19172,Not specified, DHL
19173,Not specified, DIC
19174,Not specified, DPA
19175,Not specified, DPI
19176,Not specified, DST
19177,Not specified, EAI
19178,Not specified, EAS
19179,Not specified, ECI
19180,Not specified, EDE
19181,Not specified, EFA
19182,Not specified, EGL
19183,Not specified, EHA
19184,Not specified, EIA
19185,Not specified, EKA
19186,Not specified, ERI
19187,Not specified, ERO
19188,Not specified, EVA
19189,Not specified, FAR
19190,Not specified, FBI
19191,Not specified, FCA
19192,Not specified, FDA
19193,Not specified, FDM
19194,Not specified, FLM
19195,Not specified, FOR
19196,Not specified, FOS
19197,Not specified, FVA
19198,Not specified, FWA
19199,Not specified, GAS
19200,Not specified, GAV
19201,Not specified, GBA
19202,Not specified, GCA
19203,Not specified, GCS
19204,Not specified, GHA
19205,Not specified, GMA
19206,Not specified, GOF
19207,Not specified, GRO
19208,Not specified, GSL
19209,Not specified, GUL
