air_carrier_id_pk,airport_code,name,city,country
0,01A,Afognak Lake Airport,Afognak Lake,United States
1,03A,Bear Creek Mining Strip,Granite Mountain,United States
2,04A,Lik Mining Camp,Lik,United States
3,05A,Little Squaw Airport,Little Squaw,United States
4,06A,Kizhuyak Bay,Kizhuyak,United States
5,07A,Klawock Seaplane Base,Klawock,United States
6,08A,Elizabeth Island Airport,Elizabeth Island,United States
7,09A,Augustin Island,Homer,United States
8,1B1,Columbia County,Hudson,United States
9,1G4,Grand Canyon West,Peach Springs,United States
10,1N7,Blairstown Airport,Blairstown,United States
11,1NY,Penn Yan Airport,Penn Yan,United States
12,2NY,Sands Point Seaplane Base,Port Washington,United States
13,6B0,Middlebury State,Middlebury,United States
14,7AK,Akun Airport,Akun,United States
15,8F3,Crosbyton Municipal,Crosbyton,United States
16,A01,Blair Lake,Fairbanks/Ft. Wainwright,United States
17,A02,Deadmans Bay Airport,Deadmans Bay,United States
18,A03,Hallo Bay Airport,Hallo Bay,United States
19,A04,Red Lake Airport,Red Lake,United States
20,A05,Shell Lake Airport,Shell Lake,United States
21,A06,Navigator Airstrip,Kougarok,United States
22,A07,Roland Norton Memorial,Selawik,United States
23,A08,Pillar Bay Airport,Pillar Bay,United States
24,A09,Johnstone Point Airport,Johnstone Point,United States
25,A11,Bell Creek Airport,Bell Creek,United States
26,A12,Cinnabar Airport,Cinnabar,United States
27,A13,Mountaintop Mine Airport,Mountaintop Mine,United States
28,A14,Whitebear Airport,Whitebear,United States
29,A15,Puviaq Airport,Puviaq,United States
30,A16,Arley Lake Airport,Arley Lake,United States
31,A17,Port Vita Airport,Port Vita,United States
32,A18,Kantishna Airport,Kantishna,United States
33,A1K,Point Thomson Airstrip,Deadhorse1,United States
34,A1L,Cullman Regional Folsom Field,Cullman,United States
35,A20,Alpine Airstrip,Alpine,United States
36,A21,Serpentine Airport,Serpentine,United States
37,A22,Driftwood Bay Airport,Driftwood Bay,United States
38,A23,Bradley Lake Airport,Bradley Lake,United States
39,A24,Chilkat Lake Airport,Chilkat Lake,United States
40,A25,Nugget Creek Airport,Nugget Creek,United States
41,A26,Ivotuk Airstrip,Ivotuk,United States
42,A27,Pogo Mines Airport,Pogo Mines,United States
43,A28,Ayakulik River Airport,Ayakulik River,United States
44,A29,Kiluda Bay Airport,Kiluda Bay,United States
45,A2K,Bartletts Airport,Bartletts,United States
46,A2L,Isbell Field,Fort Payne,United States
47,A30,Terror Lake Airport,Terror Lake,United States
48,A31,Selief Bay Airport,Selief Bay,United States
49,A34,Laura Lake Airport,Laura Lake,United States
50,A35,Bullen Point AFS,Kaktovik,United States
51,A36,Deep Bay Airport,Deep Bay,United States
52,A37,Kako Airport,Kako,United States
53,A38,Molly Creek Airport,Molly Creek,United States
54,A39,Ptarmigan Lake Airport,Ptarmigan Lake,United States
55,A3K,Smith Bay Airport,Smith Bay,United States
56,A40,Cape Simpson Airport,Cape Simpson,United States
57,A41,Kogru River Airport,Kogru River,United States
58,A42,Teshepkuk Lake Airport,Teshepkuk Lake,United States
59,A43,Trident Basin Seaplane Base,Kodiak Island,United States
60,A45,Lake Florence Airport,Lake Florence,United States
61,A46,Lake Hasselborg Airport,Lake Hasselborg,United States
62,A47,Distin Lake Airport,Distin Lake,United States
63,A48,Port Hobron Airport,Port Hobron,United States
64,A49,Mooseville Airstrip Airport,Mooseville Airstrip,United States
65,A4K,Dune Lake Airport,Dune Lake,United States
66,A50,Big Bay Airport,Big Bay,United States
67,A51,Wien Lake Airport,Wien Lake,United States
68,A52,Silver Salmon Creek Airport,Silver Salmon Creek,United States
69,A53,Blear Lake Airport,Blear Lake,United States
70,A54,Cannery Bay Airport,Cannery Bay,United States
71,A56,Johnsons Landing,Bear Lake,United States
72,A57,International Seafoods Airport,International Seafoods,United States
73,A58,Cosna River Airport,Cosna River,United States
74,A59,Ivatuk Airport,Ivatuk,United States
75,A5K,Paxson Airport,Paxson,United States
76,A61,Cape Sarichef Airport,Cape Sarichef,United States
77,A62,Taylor Mountain,Taylor Mountain Mine,United States
78,A63,Coal Creek,Yukon Charley Rivvers,United States
79,A65,Karluk Portage Airport,Karluk Portage,United States
80,A66,Hope Airport,Hope,United States
81,A67,Viekoda Bay Airport,Viekoda Bay,United States
82,A69,Cathedral Strip,Cold Bay,United States
83,A6K,Van Curlers Sandbar,Fairbanks1,United States
84,A70,Village Islands Airport,Village Islands,United States
85,A71,Bear Cove Farm,Homer,United States
86,A72,Chinitna Bay Airport,Chinitna Bay,United States
87,A73,McKinley National Park,McKinley Park,United States
88,A74,Dog Fish Bay,Nanwalek,United States
89,A75,Malina Bay Airport,Malina Bay,United States
90,A76,Red Fox Bay Airport,Red Fox Bay,United States
91,A77,Shearwater Airport,Shearwater,United States
92,A78,Lake,Cape Simpson,United States
93,A79,Cape Simpson No. 1,Cape Simpson,United States
94,A7K,Nakochna Airport,Nakochna,United States
95,A80,Cape Simpson No. 7,Cape Simpson,United States
96,A81,Cape Simpson #1,Aglaq,United States
97,A82,Nikiski Private Airstrip,Nikiski,United States
98,A83,Petrof Point Airport,Petrof Point,United States
99,A84,Denali West Lodge Private,Denali,United States
100,A85,Big River Airport,Big River,United States
101,A87,Carry Inlet Airport,Carry Inlet,United States
102,A89,Montague Island Airport,Montague Island,United States
103,A90,Shannon Pond Airport,Shannon Pond,United States
104,A91,Omalik Lagoon Airport,Omalik Lagoon,United States
105,A92,Omolik Lagoon Airport,Omolik Lagoon,United States
106,A93,Bradley Lake Project Airport,Bradley Lake Project,United States
107,A94,Ice Strip,Barrow,United States
108,A95,Ice Strip,Barrow,United States
109,A96,Ice Strip,Barrow,United States
110,A97,Akulik Air Strip,Akulik,United States
111,A98,Deadfall Air Strip,Deadfall,United States
112,A99,Eagle Creek Airport,Eagle Creek,United States
113,AA1,Ice Kong,Bethel,United States
114,AA2,Icicle Seafoods,Naknek-1,United States
115,AA4,Glacier Split,Kachemak Bay,United States
116,AA5,Selby Lake Airport,Selby Lake,United States
117,AA7,Independence Creek Airport,Independence Creek,United States
118,AA8,Badami,Deadhorse,United States
119,AA9,Napaimute Pioneer Airfield,Napaimute,United States
120,AAA,Anaa Airport,Anaa,French Polynesia
121,AAB,Arrabury Station,Arrabury,Australia
122,AAC,El Arish International,El Arish,Egypt
123,AAD,Ad-Dabbah Airport,Ad-Dabbah,Sudan
124,AAE,Rabah Bitat,Annaba,Algeria
125,AAF,Apalachicola Regional Cleve Randolph Field,Apalachicola,United States
126,AAH,Aachen Merzbrueck,Aachen,Germany
127,AAI,Arraias Airport,Arraias,Brazil
128,AAL,Aalborg Airport,Aalborg,Denmark
129,AAM,Malamala,Mala Mala,South Africa
130,AAN,Al Ain International,Al Ain,United Arab Emirates
131,AAO,Anaco Airport,Anaco,Venezuela
132,AAQ,Vityazevo,Anapa,Russia
133,AAR,Aarhus Airport,Aarhus,Denmark
134,AAU,Asau W Sam,Asau,Samoa
135,AAX,Araxa Airport,Araxa,Brazil
136,ABA,Abakan Airport,Abakan,Russia
137,ABD,Abadan Airport,Abadan,Iran
138,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,United States
139,ABI,Abilene Regional,Abilene,United States
140,ABJ,Felix Houphouet Boigny Abidjan International,Abidjan,Cote d'Ivoire
141,ABK,Kebri Dahar,Kabri Dar,Ethiopia
142,ABL,Ambler River,Ambler,United States
143,ABQ,Albuquerque International Sunport,Albuquerque,United States
144,ABR,Aberdeen Regional,Aberdeen,United States
145,ABS,Abu Simbel Airport,Abu Simbel,Egypt
146,ABT,King Saud Bin Abdulaziz,Al-Baha,Saudi Arabia
147,ABV,Nnamdi Azikiwe International,Abuja,Nigeria
148,ABX,Albury Airport,Albury,Australia
149,ABY,Southwest Georgia Regional,Albany,United States
150,ABZ,Aberdeen Dyce,Aberdeen,United Kingdom
151,ACA,General Juan N Alvarez International,Acapulco,Mexico
152,ACB,Antrim County,Bellaire,United States
153,ACC,Accra Kotoka International,Accra,Ghana
154,ACE,Lanzarote,Arrecife,Spain
155,ACH,St Gallen Altenrhein,Altenrhein,Switzerland
156,ACI,Alderney Airport,Alderney,United Kingdom
157,ACK,Nantucket Memorial,Nantucket,United States
158,ACT,Waco Regional,Waco,United States
159,ACU,Achutupo Airport,Achutupo,Panama
160,ACV,California Redwood Coast Humboldt County,Arcata/Eureka,United States
161,ACY,Atlantic City International,Atlantic City,United States
162,ADA,Adana International,Adana,Turkey
163,ADB,Adnan Menderes,Izmir,Turkey
164,ADC,Andakombe Airport,Andakombe,Papua New Guinea
165,ADD,Bole International,Addis Ababa,Ethiopia
166,ADE,Aden International,Aden,Yemen
167,ADJ,Marka International,Amman,Jordan
168,ADK,Adak,Adak Island,United States
169,ADL,Adelaide International,Adelaide,Australia
170,ADM,Ardmore Municipal,Ardmore,United States
171,ADN,Andes Airport,Andes,Colombia
172,ADO,Andamooka Airport,Andamooka,Australia
173,ADQ,Kodiak Airport,Kodiak,United States
174,ADS,Addison,Dallas,United States
175,ADT,Ada Regional,Ada,United States
176,ADW,Joint Base Andrews,Camp Springs,United States
177,ADX,RAF Leuchars,St Andrews,United Kingdom
178,ADZ,Gustavo Rojas Pinilla,San Andres Island,Colombia
179,AE1,Liwa Airbase,Liwa,United Arab Emirates
180,AE2,Sweihan Airbase,Sweihan,United Arab Emirates
181,AED,Aleneva Airport,Aleneva,United States
182,AEG,Aek Godang,Padang Sidempuan,Indonesia
183,AEH,Abeche Airport,Abeche,Chad
184,AEO,Aioun El Atrouss Airport,Aioun El Atrouss,Mauritania
185,AEP,Aeroparque Jorge Newbery,Buenos Aires,Argentina
186,AER,Adler/Sochi Airport,Adler/Sochi,Russia
187,AES,Vigra,Aalesund,Norway
188,AET,Allakaket Airport,Allakaket,United States
189,AEX,Alexandria International,Alexandria,United States
190,AEY,Akureyri Airport,Akureyri,Iceland
191,AF1,Bagram Air Base,Bagram,Afghanistan
192,AF2,Bastion Airfield,Lashkar Gah,Afghanistan
193,AF3,Dwyer Airport,Dwyer,Afghanistan
194,AF4,Shindand Airport,Shindand,Afghanistan
195,AFA,San Rafael Airport,San Rafael,Argentina
196,AFF,USAF Academy Airfield,Colorado Springs,United States
197,AFK,Nebraska City Municipal,Nebraska,United States
198,AFO,Afton Municipal,Afton,United States
199,AFP,Anson County Jeff Cloud Field,Wadesboro,United States
200,AFU,Al Udeid Air Base,Doha,Qatar
201,AFW,Fort Worth Alliance,Dallas/Fort Worth,United States
202,AFY,Afyon Airport,Afyon,Turkey
203,AGA,Inezgane,Agadir,Morocco
204,AGB,Augsburg Airport,Augsburg,Germany
205,AGC,Allegheny County,Pittsburgh,United States
206,AGF,Agen La Garenne,Agen,France
207,AGG,Angoram Airport,Angoram,Papua New Guinea
208,AGH,Angelholm,Angelholm/Helsingborg,Sweden
209,AGK,Kagua Airport,Kagua,Papua New Guinea
210,AGL,Wanigela Airport,Wanigela,Papua New Guinea
211,AGN,Angoon Seaplane Base,Angoon,United States
212,AGP,Malaga Airport,Malaga,Spain
213,AGQ,Agrinion Airport,Agrinion,Greece
214,AGR,Agra Airport,Agra,India
215,AGS,Augusta Regional at Bush Field,Augusta,United States
216,AGT,Guarani International,Ciudad del Este,Paraguay
217,AGU,Jesus Teran International,Aguascalientes,Mexico
218,AGV,Oswaldo Guevara Mujica,Acarigua,Venezuela
219,AGX,Agatti Island Airport,Agatti Island,India
220,AHA,Naha AB,Okinawa,Japan
221,AHB,Abha Airport,Abha,Saudi Arabia
222,AHD,Ardmore Downtown Executive,Ardmore,United States
223,AHN,Athens/Ben Epps,Athens,United States
224,AHO,Alghero,Alghero/Sassari,Italy
225,AHS,Auas,Ahuas,Honduras
226,AHT,Amchitka,Amchitka Island,United States
227,AHU,Cherif El Idrissi International,Al Hoceima,Morocco
228,AIA,Alliance Municipal,Alliance,United States
229,AIB,Anita Bay Airport,Anita Bay,United States
230,AID,Anderson Municipal-Darlington Field,Anderson,United States
231,AIK,Aiken Municipal,Aiken,United States
232,AIN,Wainwright Airport,Wainwright,United States
233,AIT,Aitutaki Airport,Aitutaki,Cook Islands
234,AIY,Bader Field,Atlantic City,United States
235,AIZ,Lee C Fine Memorial,Lake of the Ozarks,United States
236,AJA,Ajaccio Napoleon Bonaparte,Ajaccio,France
237,AJF,Al Jouf,Jouf,Saudi Arabia
238,AJJ,Akjoujt Airport,Akjoujt,Mauritania
239,AJL,Lengpui,Aizwal,India
240,AJN,Ouani,Anjouan,Comoros
241,AJR,Arvidsjaur Airport,Arvidsjaur,Sweden
242,AJU,Santa Maria,Aracaju,Brazil
243,AJY,Mano Dayak,Agades,Niger
244,AK1,Kelly Creek Airstrip,Seward Peninsula,United States
245,AK2,Bear Fish Camp Airport,Bear Fish Camp,United States
246,AK3,Gold King Creek,Fairbanks,United States
247,AK4,Squaw Lake Airport,Squaw Lake,United States
248,AK5,Qugruc Airport,Qugruc,United States
249,AK6,Gold King 2 Airport,Gold King 2,United States
250,AK7,Hunter Creek,Rampart,United States
251,AK8,Zips Airport,Zips,United States
252,AK9,Tolstoi Bay Airport,Tolstoi Bay,United States
253,AKB,Atka Airport,Atka,United States
254,AKC,Akron Fulton International,Akron,United States
255,AKF,Kufra,Kufrah,Libya
256,AKH,Prince Sultan AB,Al Kharj,Saudi Arabia
257,AKI,Akiak Airport,Akiak,United States
258,AKJ,Asahikawa Airport,Asahikawa,Japan
259,AKK,Akhiok Airport,Akhiok,United States
260,AKL,Auckland International,Auckland,New Zealand
261,AKN,King Salmon Airport,King Salmon,United States
262,AKO,Colorado Plains Regional,Akron,United States
263,AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,United States
264,AKR,Akure Airport,Akure,Nigeria
265,AKS,Auki Airport,Auki,Solomon Islands
266,AKT,Akrotiri Airport,Akrotiri,Cyprus
267,AKX,Aktyubinsk Airport,Aktyubinsk,Kazakhstan
268,AKY,Sittwe Airport,Sittwe,Burma
269,AL1,Albertville Regional-Thomas J Brumlik Field,Albertville,United States
270,AL2,Shelby County,Alabaster,United States
271,AL3,Huntsville Executive Airport Tom Sharp Jr,Huntsville,United States
272,AL4,South Alabama Regional at Bill Benton Field,Andalusia/Opp,United States
273,AL5,Demopolis Regional,Demopolis,United States
274,AL6,H. L. Sonny Callahan,Fairhope,United States
275,AL7,Walker County Bevill Field,Jasper,United States
276,AL8,Scottsboro Municipal Word Field,Scottsboro,United States
277,AL9,Merkel Field Sylacauga Municipal,Sylacauga,United States
278,ALA,Almaty Airport,Almaty,Kazakhstan
279,ALB,Albany International,Albany,United States
280,ALC,Alicante Elche,Alicante,Spain
