air_carrier_id_pk,airport_code,name,city
0,01A,Afognak Lake Airport,Afognak Lake
1,03A,Bear Creek Mining Strip,Granite Mountain
2,04A,Lik Mining Camp,Lik
3,05A,Little Squaw Airport,Little Squaw
4,06A,Kizhuyak Bay,Kizhuyak
5,07A,Klawock Seaplane Base,Klawock
6,08A,Elizabeth Island Airport,Elizabeth Island
7,09A,Augustin Island,Homer
8,1B1,Columbia County,Hudson
9,1G4,Grand Canyon West,Peach Springs
10,1N7,Blairstown Airport,Blairstown
11,1NY,Penn Yan Airport,Penn Yan
12,2NY,Sands Point Seaplane Base,Port Washington
13,6B0,Middlebury State,Middlebury
14,7AK,Akun Airport,Akun
15,8F3,Crosbyton Municipal,Crosbyton
16,A01,Blair Lake,Fairbanks/Ft. Wainwright
17,A02,Deadmans Bay Airport,Deadmans Bay
18,A03,Hallo Bay Airport,Hallo Bay
19,A04,Red Lake Airport,Red Lake
20,A05,Shell Lake Airport,Shell Lake
21,A06,Navigator Airstrip,Kougarok
22,A07,Roland Norton Memorial,Selawik
23,A08,Pillar Bay Airport,Pillar Bay
24,A09,Johnstone Point Airport,Johnstone Point
25,A11,Bell Creek Airport,Bell Creek
26,A12,Cinnabar Airport,Cinnabar
27,A13,Mountaintop Mine Airport,Mountaintop Mine
28,A14,Whitebear Airport,Whitebear
29,A15,Puviaq Airport,Puviaq
30,A16,Arley Lake Airport,Arley Lake
31,A17,Port Vita Airport,Port Vita
32,A18,Kantishna Airport,Kantishna
33,A1K,Point Thomson Airstrip,Deadhorse1
34,A1L,Cullman Regional Folsom Field,Cullman
35,A20,Alpine Airstrip,Alpine
36,A21,Serpentine Airport,Serpentine
37,A22,Driftwood Bay Airport,Driftwood Bay
38,A23,Bradley Lake Airport,Bradley Lake
39,A24,Chilkat Lake Airport,Chilkat Lake
40,A25,Nugget Creek Airport,Nugget Creek
41,A26,Ivotuk Airstrip,Ivotuk
42,A27,Pogo Mines Airport,Pogo Mines
43,A28,Ayakulik River Airport,Ayakulik River
44,A29,Kiluda Bay Airport,Kiluda Bay
45,A2K,Bartletts Airport,Bartletts
46,A2L,Isbell Field,Fort Payne
47,A30,Terror Lake Airport,Terror Lake
48,A31,Selief Bay Airport,Selief Bay
49,A34,Laura Lake Airport,Laura Lake
50,A35,Bullen Point AFS,Kaktovik
51,A36,Deep Bay Airport,Deep Bay
52,A37,Kako Airport,Kako
53,A38,Molly Creek Airport,Molly Creek
54,A39,Ptarmigan Lake Airport,Ptarmigan Lake
55,A3K,Smith Bay Airport,Smith Bay
56,A40,Cape Simpson Airport,Cape Simpson
57,A41,Kogru River Airport,Kogru River
58,A42,Teshepkuk Lake Airport,Teshepkuk Lake
59,A43,Trident Basin Seaplane Base,Kodiak Island
60,A45,Lake Florence Airport,Lake Florence
61,A46,Lake Hasselborg Airport,Lake Hasselborg
62,A47,Distin Lake Airport,Distin Lake
63,A48,Port Hobron Airport,Port Hobron
64,A49,Mooseville Airstrip Airport,Mooseville Airstrip
65,A4K,Dune Lake Airport,Dune Lake
66,A50,Big Bay Airport,Big Bay
67,A51,Wien Lake Airport,Wien Lake
68,A52,Silver Salmon Creek Airport,Silver Salmon Creek
69,A53,Blear Lake Airport,Blear Lake
70,A54,Cannery Bay Airport,Cannery Bay
71,A56,Johnsons Landing,Bear Lake
72,A57,International Seafoods Airport,International Seafoods
73,A58,Cosna River Airport,Cosna River
74,A59,Ivatuk Airport,Ivatuk
75,A5K,Paxson Airport,Paxson
76,A61,Cape Sarichef Airport,Cape Sarichef
77,A62,Taylor Mountain,Taylor Mountain Mine
78,A63,Coal Creek,Yukon Charley Rivvers
79,A65,Karluk Portage Airport,Karluk Portage
80,A66,Hope Airport,Hope
81,A67,Viekoda Bay Airport,Viekoda Bay
82,A69,Cathedral Strip,Cold Bay
83,A6K,Van Curlers Sandbar,Fairbanks1
84,A70,Village Islands Airport,Village Islands
85,A71,Bear Cove Farm,Homer
86,A72,Chinitna Bay Airport,Chinitna Bay
87,A73,McKinley National Park,McKinley Park
88,A74,Dog Fish Bay,Nanwalek
89,A75,Malina Bay Airport,Malina Bay
90,A76,Red Fox Bay Airport,Red Fox Bay
91,A77,Shearwater Airport,Shearwater
92,A78,Lake,Cape Simpson
93,A79,Cape Simpson No. 1,Cape Simpson
94,A7K,Nakochna Airport,Nakochna
95,A80,Cape Simpson No. 7,Cape Simpson
96,A81,Cape Simpson #1,Aglaq
97,A82,Nikiski Private Airstrip,Nikiski
98,A83,Petrof Point Airport,Petrof Point
99,A84,Denali West Lodge Private,Denali
100,A85,Big River Airport,Big River
101,A87,Carry Inlet Airport,Carry Inlet
102,A89,Montague Island Airport,Montague Island
103,A90,Shannon Pond Airport,Shannon Pond
104,A91,Omalik Lagoon Airport,Omalik Lagoon
105,A92,Omolik Lagoon Airport,Omolik Lagoon
106,A93,Bradley Lake Project Airport,Bradley Lake Project
107,A94,Ice Strip,Barrow
108,A95,Ice Strip,Barrow
109,A96,Ice Strip,Barrow
110,A97,Akulik Air Strip,Akulik
111,A98,Deadfall Air Strip,Deadfall
112,A99,Eagle Creek Airport,Eagle Creek
113,AA1,Ice Kong,Bethel
114,AA2,Icicle Seafoods,Naknek-1
115,AA4,Glacier Split,Kachemak Bay
116,AA5,Selby Lake Airport,Selby Lake
117,AA7,Independence Creek Airport,Independence Creek
118,AA8,Badami,Deadhorse
119,AA9,Napaimute Pioneer Airfield,Napaimute
120,AAA,Anaa Airport,Anaa
121,AAB,Arrabury Station,Arrabury
122,AAC,El Arish International,El Arish
123,AAD,Ad-Dabbah Airport,Ad-Dabbah
124,AAE,Rabah Bitat,Annaba
125,AAF,Apalachicola Regional Cleve Randolph Field,Apalachicola
126,AAH,Aachen Merzbrueck,Aachen
127,AAI,Arraias Airport,Arraias
128,AAL,Aalborg Airport,Aalborg
129,AAM,Malamala,Mala Mala
130,AAN,Al Ain International,Al Ain
131,AAO,Anaco Airport,Anaco
132,AAQ,Vityazevo,Anapa
133,AAR,Aarhus Airport,Aarhus
134,AAU,Asau W Sam,Asau
135,AAX,Araxa Airport,Araxa
136,ABA,Abakan Airport,Abakan
137,ABD,Abadan Airport,Abadan
138,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton
139,ABI,Abilene Regional,Abilene
140,ABJ,Felix Houphouet Boigny Abidjan International,Abidjan
141,ABK,Kebri Dahar,Kabri Dar
142,ABL,Ambler River,Ambler
143,ABQ,Albuquerque International Sunport,Albuquerque
144,ABR,Aberdeen Regional,Aberdeen
145,ABS,Abu Simbel Airport,Abu Simbel
146,ABT,King Saud Bin Abdulaziz,Al-Baha
147,ABV,Nnamdi Azikiwe International,Abuja
148,ABX,Albury Airport,Albury
149,ABY,Southwest Georgia Regional,Albany
150,ABZ,Aberdeen Dyce,Aberdeen
151,ACA,General Juan N Alvarez International,Acapulco
152,ACB,Antrim County,Bellaire
153,ACC,Accra Kotoka International,Accra
154,ACE,Lanzarote,Arrecife
155,ACH,St Gallen Altenrhein,Altenrhein
156,ACI,Alderney Airport,Alderney
157,ACK,Nantucket Memorial,Nantucket
158,ACT,Waco Regional,Waco
159,ACU,Achutupo Airport,Achutupo
160,ACV,California Redwood Coast Humboldt County,Arcata/Eureka
161,ACY,Atlantic City International,Atlantic City
162,ADA,Adana International,Adana
163,ADB,Adnan Menderes,Izmir
164,ADC,Andakombe Airport,Andakombe
165,ADD,Bole International,Addis Ababa
166,ADE,Aden International,Aden
167,ADJ,Marka International,Amman
168,ADK,Adak,Adak Island
169,ADL,Adelaide International,Adelaide
170,ADM,Ardmore Municipal,Ardmore
171,ADN,Andes Airport,Andes
172,ADO,Andamooka Airport,Andamooka
173,ADQ,Kodiak Airport,Kodiak
174,ADS,Addison,Dallas
175,ADT,Ada Regional,Ada
176,ADW,Joint Base Andrews,Camp Springs
177,ADX,RAF Leuchars,St Andrews
178,ADZ,Gustavo Rojas Pinilla,San Andres Island
179,AE1,Liwa Airbase,Liwa
180,AE2,Sweihan Airbase,Sweihan
181,AED,Aleneva Airport,Aleneva
182,AEG,Aek Godang,Padang Sidempuan
183,AEH,Abeche Airport,Abeche
184,AEO,Aioun El Atrouss Airport,Aioun El Atrouss
185,AEP,Aeroparque Jorge Newbery,Buenos Aires
186,AER,Adler/Sochi Airport,Adler/Sochi
187,AES,Vigra,Aalesund
188,AET,Allakaket Airport,Allakaket
189,AEX,Alexandria International,Alexandria
190,AEY,Akureyri Airport,Akureyri
191,AF1,Bagram Air Base,Bagram
192,AF2,Bastion Airfield,Lashkar Gah
193,AF3,Dwyer Airport,Dwyer
194,AF4,Shindand Airport,Shindand
195,AFA,San Rafael Airport,San Rafael
196,AFF,USAF Academy Airfield,Colorado Springs
197,AFK,Nebraska City Municipal,Nebraska
198,AFO,Afton Municipal,Afton
199,AFP,Anson County Jeff Cloud Field,Wadesboro
200,AFU,Al Udeid Air Base,Doha
201,AFW,Fort Worth Alliance,Dallas/Fort Worth
202,AFY,Afyon Airport,Afyon
203,AGA,Inezgane,Agadir
204,AGB,Augsburg Airport,Augsburg
205,AGC,Allegheny County,Pittsburgh
206,AGF,Agen La Garenne,Agen
207,AGG,Angoram Airport,Angoram
208,AGH,Angelholm,Angelholm/Helsingborg
209,AGK,Kagua Airport,Kagua
210,AGL,Wanigela Airport,Wanigela
211,AGN,Angoon Seaplane Base,Angoon
212,AGP,Malaga Airport,Malaga
213,AGQ,Agrinion Airport,Agrinion
214,AGR,Agra Airport,Agra
215,AGS,Augusta Regional at Bush Field,Augusta
216,AGT,Guarani International,Ciudad del Este
217,AGU,Jesus Teran International,Aguascalientes
218,AGV,Oswaldo Guevara Mujica,Acarigua
219,AGX,Agatti Island Airport,Agatti Island
220,AHA,Naha AB,Okinawa
221,AHB,Abha Airport,Abha
222,AHD,Ardmore Downtown Executive,Ardmore
223,AHN,Athens/Ben Epps,Athens
224,AHO,Alghero,Alghero/Sassari
225,AHS,Auas,Ahuas
226,AHT,Amchitka,Amchitka Island
227,AHU,Cherif El Idrissi International,Al Hoceima
228,AIA,Alliance Municipal,Alliance
