delay_id_pk,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,other_type_delay
0,9.0,0.0,35.0,0.0,0.0,35.0
1,0.0,0.0,53.0,0.0,0.0,24.0
2,0.0,0.0,0.0,0.0,0.0,1.0
3,43.0,0.0,0.0,0.0,0.0,-1.0
4,0.0,0.0,0.0,0.0,0.0,2.0
5,0.0,0.0,0.0,0.0,0.0,3.0
6,0.0,0.0,0.0,0.0,0.0,6.0
7,0.0,0.0,0.0,0.0,0.0,-7.0
8,0.0,0.0,0.0,0.0,0.0,-3.0
9,0.0,0.0,0.0,0.0,0.0,11.0
10,0.0,0.0,0.0,0.0,0.0,-18.0
11,0.0,0.0,0.0,0.0,0.0,7.0
13,0.0,0.0,0.0,0.0,0.0,-4.0
14,28.0,0.0,2.0,0.0,6.0,2.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,-2.0
17,21.0,0.0,0.0,0.0,0.0,-15.0
18,2.0,0.0,0.0,0.0,73.0,-9.0
19,0.0,0.0,0.0,0.0,0.0,-6.0
20,0.0,0.0,70.0,0.0,0.0,77.0
22,0.0,0.0,0.0,0.0,0.0,-10.0
23,0.0,0.0,0.0,0.0,0.0,-1.0
25,0.0,0.0,0.0,0.0,0.0,-5.0
26,0.0,0.0,0.0,0.0,0.0,-14.0
29,0.0,0.0,5.0,0.0,33.0,5.0
30,21.0,0.0,15.0,0.0,0.0,15.0
33,9.0,0.0,20.0,0.0,5.0,20.0
34,0.0,0.0,0.0,0.0,0.0,16.0
42,0.0,0.0,0.0,0.0,0.0,8.0
50,0.0,0.0,0.0,0.0,0.0,-12.0
51,0.0,0.0,0.0,0.0,0.0,10.0
52,0.0,2.0,77.0,0.0,0.0,77.0
54,0.0,0.0,0.0,0.0,0.0,-15.0
55,0.0,0.0,0.0,0.0,0.0,5.0
56,0.0,0.0,0.0,0.0,0.0,-11.0
57,0.0,48.0,0.0,0.0,20.0,-19.0
58,16.0,0.0,0.0,0.0,0.0,-5.0
60,0.0,0.0,71.0,0.0,0.0,75.0
61,0.0,0.0,65.0,0.0,17.0,65.0
64,0.0,0.0,0.0,0.0,0.0,-16.0
65,0.0,46.0,3.0,0.0,0.0,3.0
69,80.0,0.0,0.0,0.0,37.0,-17.0
74,0.0,0.0,0.0,0.0,0.0,4.0
75,78.0,0.0,4.0,0.0,0.0,4.0
76,0.0,0.0,0.0,0.0,0.0,-9.0
77,0.0,0.0,0.0,0.0,0.0,-19.0
82,0.0,0.0,0.0,0.0,18.0,-19.0
